# slug,chinese_name,english_name,scientific_name,wikipedia_page
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
black_crowned_night_heron,"夜鹭","Black-crowned Night-heron","Nycticorax nycticorax",Black-crowned_Night-heron
collared_scops_owl,"领角鸮","Collared Scops Owl","Otus lettia",Collared_Scops_Owl
japanese_tit,"大山雀","Japanese Tit","Parus minor",Japanese_Tit
common_tailorbird,"长尾缝叶莺","Common Tailorbird","Orthotomus sutorius",Common_Tailorbird
red_whiskered_bulbul,"红耳鹎","Red-whiskered Bulbul","Pycnonotus jocosus",Red-whiskered_Bulbul
sooty_headed_bulbul,"白喉红臀鹎","Sooty-headed Bulbul","Pycnonotus aurigaster",Sooty-headed_Bulbul
dusky_warbler,"褐柳莺","Dusky Warbler","Phylloscopus fuscatus",Dusky_Warbler
swinhoes_white_eye,"暗绿绣眼鸟","Swinhoe's White-eye","Zosterops simplex",Swinhoe's_White-eye
masked_laughingthrush,"黑脸噪鹛","Masked Laughingthrush","Pterorhinus perspicillatus",Masked_Laughingthrush
chinese_blackbird,"乌鸫","Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
oriental_magpie_robin,"鹊鸲","Oriental Magpie-robin","Copsychus saularis",Oriental_Magpie-robin
fire_breasted_flowerpecker,"红胸啄花鸟","Fire-breasted Flowerpecker","Dicaeum ignipectus",Fire-breasted_Flowerpecker
fork_tailed_sunbird,"叉尾太阳鸟","Fork-tailed Sunbird","Aethopyga christinae",Fork-tailed_Sunbird
olive_backed_pipit,"树鹨","Olive-backed Pipit","Anthus hodgsoni",Olive-backed_Pipit
white_wagtail,"白鹡鸰","White Wagtail","Motacilla alba",White_Wagtail
crested_goshawk,"凤头鹰","Crested Goshawk","Accipiter trivirgatus",Crested_Goshawk
red_billed_blue_magpie,"红嘴蓝鹊","Red-billed Blue Magpie","Urocissa erythroryncha",Red-billed_Blue_Magpie
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
