# slug,chinese_name,english_name,scientific_name,wikipedia_page
common_merganser,"普通秋沙鸭","Common Merganser","Mergus merganser",Common_Merganser
mandarin_duck,"鸳鸯","Mandarin Duck","Aix galericulata",Mandarin_Duck
mallard,"绿头鸭","Mallard","Anas platyrhynchos",Mallard
little_grebe,"小䴙䴘","Little Grebe","Tachybaptus ruficollis",Little_Grebe
oriental_turtle_dove,"山斑鸠","Oriental Turtle Dove","Streptopelia orientalis",Oriental_Turtle_Dove
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
common_moorhen,"黑水鸡","Common Moorhen","Gallinula chloropus",Common_Moorhen
eurasian_bittern,"大麻鳽","Eurasian Bittern","Botaurus stellaris",Eurasian_Bittern
grey_heron,"苍鹭","Grey Heron","Ardea cinerea",Grey_Heron
eurasian_sparrow_hawk,"雀鹰","Eurasian Sparrow Hawk","Accipiter nisus",Eurasian_Sparrow_Hawk
grey_faced_woodpecker,"灰头绿啄木鸟","Grey-faced Woodpecker","Picus canus",Grey-faced_Woodpecker
grey_capped_woodpecker,"星头啄木鸟","Grey-capped Woodpecker","Picoides canicapillus",Grey-capped_Woodpecker
great_spotted_woodpecker,"大斑啄木鸟","Great Spotted Woodpecker","Dendrocopos major",Great_Spotted_Woodpecker
common_kestrel,"红隼","Common Kestrel","Falco tinnunculus",Common_Kestrel
azure_winged_magpie,"灰喜鹊","Azure-winged Magpie","Cyanopica cyanus",Azure-winged_Magpie
red_billed_blue_magpie,"红嘴蓝鹊","Red-billed Blue Magpie","Urocissa erythroryncha",Red-billed_Blue_Magpie
oriental_magpie,"喜鹊","Oriental Magpie","Pica serica",Oriental_Magpie
carrion_crow,"小嘴乌鸦","Carrion Crow","Corvus corone",Carrion_Crow
large_billed_crow,"大嘴乌鸦","Large-billed Crow","Corvus macrorhynchos",Large-billed_Crow
marsh_tit,"沼泽山雀","Marsh Tit","Poecile palustris",Marsh_Tit
japanese_tit,"大山雀","Japanese Tit","Parus minor",Japanese_Tit
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
silver_throated_bushtit,"银喉长尾山雀","Silver-throated Bushtit","Aegithalos glaucogularis",Silver-throated_Bushtit
vinous_throated_parrotbill,"棕头鸦雀","Vinous-throated Parrotbill","Sinosuthora webbiana",Vinous-throated_Parrotbill
chinese_nuthatch,"黑头䴓","Chinese Nuthatch","Sitta villosa",Chinese_Nuthatch
eurasian_wren,"鹪鹩","Eurasian Wren","Troglodytes troglodytes",Eurasian_Wren
chinese_blackbird,"乌鸫","Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
orange_flanked_bush_robin,"红胁蓝尾鸲","Orange-flanked Bush-robin","Tarsiger cyanurus",Orange-flanked_Bush-robin
eurasian_tree_sparrow,"麻雀","Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
water_pipit,"水鹨","Water Pipit","Anthus spinoletta",Water_Pipit
brambling,"燕雀","Brambling","Fringilla montifringilla",Brambling
hawfinch,"锡嘴雀","Hawfinch","Coccothraustes coccothraustes",Hawfinch
yellow_throated_bunting,"黄喉鹀","Yellow-throated Bunting","Emberiza elegans",Yellow-throated_Bunting
black_faced_bunting,"灰头鹀","Black-faced Bunting","Emberiza spodocephala",Black-faced_Bunting
bar_headed_goose,"斑头雁","Bar-headed Goose","Anser indicus",Bar-headed_Goose
graylag_goose,"灰雁","Graylag Goose","Anser anser",Graylag_Goose
swan_goose,"鸿雁","Swan Goose","Anser cygnoides",Swan_Goose
white_fronted_goose,"白额雁","White-fronted Goose","Anser albifrons",White-fronted_Goose
chinese_spot_billed_duck,"斑嘴鸭","Chinese Spot-billed Duck","Anas zonorhyncha",Chinese_Spot-billed_Duck
eurasian_teal,"绿翅鸭","Eurasian Teal","Anas crecca",Eurasian_Teal
eurasian_collared_dove,"灰斑鸠","Eurasian Collared Dove","Streptopelia decaocto",Eurasian_Collared_Dove
eastern_water_rail,"普通秧鸡","Eastern Water Rail","Rallus indicus",Eastern_Water_Rail
common_coot,"白骨顶","Common Coot","Fulica atra",Common_Coot
eurasian_hoopoe,"戴胜","Eurasian Hoopoe","Upupa epops",Eurasian_Hoopoe
common_kingfisher,"普通翠鸟","Common Kingfisher","Alcedo atthis",Common_Kingfisher
crested_kingfisher,"冠鱼狗","Crested Kingfisher","Megaceryle lugubris",Crested_Kingfisher
japanese_spotted_woodpecker,"小星头啄木鸟","Japanese Spotted Woodpecker","Picoides kizuki",Japanese_Spotted_Woodpecker
collared_crow,"白颈鸦","Collared Crow","Corvus pectoralis",Collared_Crow
willow_tit,"褐头山雀","Willow Tit","Poecile montanus",Willow_Tit
yellow_browed_warbler,"黄眉柳莺","Yellow-browed Warbler","Phylloscopus inornatus",Yellow-browed_Warbler
long_tailed_tit,"北长尾山雀","Long-tailed Tit","Aegithalos caudatus",Long-tailed_Tit
reed_parrotbill,"震旦鸦雀","Reed Parrotbill","Paradoxornis heudei",Reed_Parrotbill
goldcrest,"戴菊","Goldcrest","Regulus regulus",Goldcrest
chinese_grosbeak,"黑尾蜡嘴雀","Chinese Grosbeak","Eophona migratoria",Chinese_Grosbeak
oriental_greenfinch,"金翅雀","Oriental Greenfinch","Chloris sinica",Oriental_Greenfinch
little_bunting,"小鹀","Little Bunting","Emberiza pusilla",Little_Bunting
